Company Ticker,Sector,Industry,MarketCap,Currency
ANAB,Healthcare,Biotechnology,1008146816,USD
ANDE,Consumer Defensive,Food Distribution,1597628288,USD
ANE.MC,Utilities,Utilities - Renewable,7965993472,EUR
ANET,Technology,Computer Hardware,198069420032,USD
ANF,Consumer Cyclical,Apparel Retail,3301947648,USD
ANGI,Communication Services,Internet Content & Information,578665216,USD
ANGO,Healthcare,Medical Instruments & Supplies,487394144,USD
ANIK,Healthcare,Drug Manufacturers - Specialty & Generic,141585632,USD
ANIP,Healthcare,Drug Manufacturers - Specialty & Generic,2096754560,USD
ANN.AX,Healthcare,Medical Instruments & Supplies,5248018944,AUD
ANNX,Healthcare,Biotechnology,348340608,USD
ANTO.L,Basic Materials,Copper,26593564672,GBp
ANZ.AX,Financial Services,Banks - Diversified,109891592192,AUD
ANZ.NZ,Financial Services,Banks - Diversified,126212702208,NZD
AOMR,Real Estate,REIT - Mortgage,215788032,USD
AON,Financial Services,Insurance Brokers,73043599360,USD
AORT,Healthcare,Medical Devices,2155821056,USD
AOS,Industrials,Specialty Industrial Machinery,9142355968,USD
AOSL,Technology,Semiconductors,853222336,USD
AOT.BK,Industrials,Airports & Air Services,571427979264,THB
AOUT,Consumer Cyclical,Leisure,86066064,USD
APA,Energy,Oil & Gas E&P,8046617600,USD
APA.AX,Utilities,Utilities - Regulated Gas,12007531520,AUD
APAM,Financial Services,Asset Management,3082697472,USD
APAM.AS,Basic Materials,Steel,2158501120,EUR
APD,Basic Materials,Specialty Chemicals,53270437888,USD
APE.AX,Consumer Cyclical,Auto & Truck Dealerships,9190959104,AUD
APEI,Consumer Defensive,Education & Training Services,583749120,USD
APG,Industrials,Engineering & Construction,14881113088,USD
APGE,Healthcare,Biotechnology,3676516096,USD
APH,Technology,Electronic Components,173265059840,USD
APLD,Technology,Information Technology Services,9193274368,USD
APLE,Real Estate,REIT - Hotel & Motel,2704054016,USD
APLS,Healthcare,Biotechnology,2617806848,USD
APO,Financial Services,Asset Management,70902710272,USD
APOG,Industrials,Building Products & Equipment,767294848,USD
APOLLOHOSP.NS,Healthcare,Medical Care Facilities,1123030007808,INR
APP,Communication Services,Advertising Agencies,213821308928,USD
APPF,Technology,Software - Application,9420738560,USD
APPN,Technology,Software - Infrastructure,2243168256,USD
APPS,Technology,Software - Application,705153216,USD
APTV,Consumer Cyclical,Auto Parts,17668812800,USD
AQST,Healthcare,Drug Manufacturers - Specialty & Generic,785118848,USD
AR,Energy,Oil & Gas E&P,10223491072,USD
ARAY,Healthcare,Medical Devices,157807856,USD
ARB.AX,Consumer Cyclical,Auto Parts,2981751552,AUD
ARCAD.AS,Industrials,Engineering & Construction,3622805760,EUR
ARCB,Industrials,Trucking,1629744384,USD
ARCT,Healthcare,Biotechnology,252537120,USD
ARDT,Healthcare,Medical Care Facilities,2100802688,USD
ARDX,Healthcare,Biotechnology,1438407936,USD
ARE,Real Estate,REIT - Office,9624627200,USD
AREN,Communication Services,Internet Content & Information,248720512,USD
ARES,Financial Services,Asset Management,50802933760,USD
ARF.AX,Real Estate,REIT - Specialty,1467765632,AUD
ARG.NZ,Real Estate,REIT - Diversified,1107256704,NZD
ARHS,Consumer Cyclical,Specialty Retail,1390011648,USD
ARI,Real Estate,REIT - Mortgage,1349144576,USD
ARKO,Consumer Cyclical,Specialty Retail,507340544,USD
ARL,Real Estate,Real Estate Services,256171392,USD
ARLO,Industrials,Building Products & Equipment,1979911296,USD
ARM,Technology,Semiconductors,178676645888,USD
ARMK,Industrials,Specialty Business Services,9880565760,USD
AROC,Energy,Oil & Gas Equipment & Services,4498231296,USD
AROW,Financial Services,Banks - Regional,484747616,USD
ARQ,Industrials,Pollution & Treatment Controls,281762176,USD
ARQT,Healthcare,Biotechnology,3032906752,USD
ARR,Real Estate,REIT - Mortgage,1828417280,USD
ARRY,Technology,Solar,1284415232,USD
ARVN,Healthcare,Biotechnology,713619008,USD
ARW,Technology,Electronics & Computer Distribution,5740940288,USD
ARWR,Healthcare,Biotechnology,5476381696,USD
AS,Consumer Cyclical,Leisure,17452363776,USD
ASAI3.SA,Consumer Defensive,Grocery Stores,11456171008,BRL
ASAN,Technology,Software - Application,3314544384,USD
ASB,Financial Services,Banks - Regional,4129809664,USD
ASC,Industrials,Marine Shipping,507458432,USD
ASGN,Technology,Information Technology Services,1898014976,USD
ASH,Basic Materials,Specialty Chemicals,2204398336,USD
ASIANPAINT.NS,Basic Materials,Specialty Chemicals,2383696363520,INR
ASIC,Financial Services,Insurance - Property & Casualty,898846784,USD
ASIX,Basic Materials,Chemicals,502791616,USD
ASLE,Industrials,Airports & Air Services,349615040,USD
ASM.AS,Technology,Semiconductor Equipment & Materials,27174500352,EUR
ASML,Technology,Semiconductor Equipment & Materials,414083678208,USD
ASML.AS,Technology,Semiconductor Equipment & Materials,355310403584,EUR
ASO,Consumer Cyclical,Specialty Retail,3141389312,USD
ASPI,Basic Materials,Chemicals,1011752128,USD
ASPN,Industrials,Building Products & Equipment,638293760,USD
ASRNL.AS,Financial Services,Insurance - Diversified,11864525824,EUR
ASTE,Industrials,Farm & Heavy Construction Machinery,1070765312,USD
ASTH,Healthcare,Medical Care Facilities,1522698880,USD
ASTS,Technology,Communication Equipment,26090192896,USD
ASUR,Technology,Software - Application,234882400,USD
ASX.AX,Financial Services,Financial Data & Stock Exchanges,10954601472,AUD
AT1.DE,Real Estate,Real Estate Services,3347237632,EUR
ATEC,Healthcare,Medical Devices,2865533440,USD
ATEN,Technology,Software - Infrastructure,1296582400,USD
ATEX,Communication Services,Telecom Services,368611680,USD
ATGE,Consumer Defensive,Education & Training Services,3473008640,USD
ATI,Industrials,Metal Fabrication,13397516288,USD
