Date,000001.SS,000300.SS,399001.SZ,EFA,URTH,XU100.IS,^AEX,^AORD,^ATX,^AXJO,^BFX,^BSESN,^BVSP,^CASE30,^DJGT,^DJI,^FCHI,^FTMC,^FTSE,^GDAXI,^GDOW,^GSPC,^GSPTSE,^HSI,^IBEX,^IPSA,^ISEQ,^IXIC,^JKSE,^KLSE,^KS11,^MERV,^MXX,^N225,^NSEI,^NZ50,^OMX,^OMXC25,^OMXH25,^RUT,^SET.BK,^SPG100,^SPG1200,^SPLAC,^SSMI,^STI,^STOXX,^STOXX50E,^TASI.SR,^TWII,^VIX
2023-10-25,2974.114013671875,3504.4599609375,9528.3095703125,62.616634368896484,113.22718811035156,7424.96044921875,722.239990234375,7046.2998046875,3024.52001953125,6854.2998046875,3314.340087890625,64049.05859375,112830.0,,,33035.9296875,6915.06982421875,16870.69921875,7414.2998046875,14892.1796875,,4186.77001953125,18947.900390625,17085.330078125,8984.7998046875,,7841.72998046875,12821.2197265625,6834.38818359375,1442.510009765625,2363.169921875,686238.0,48766.328125,31269.919921875,19122.150390625,10884.0400390625,2073.840087890625,1586.52001953125,4027.030029296875,1651.4300537109375,1401.699951171875,,,,10400.9296875,3078.780029296875,435.2699890136719,4073.35009765625,10504.759765625,16358.8896484375,20.190000534057617
2023-10-26,2988.299072265625,3514.139892578125,9566.099609375,62.164798736572266,112.07329559326172,7662.0595703125,719.2999877929688,7001.10009765625,,6812.2998046875,3299.739990234375,63148.1484375,114777.0,,,32784.30078125,6888.9599609375,16783.099609375,7354.60009765625,14731.0498046875,,4137.22998046875,18875.30078125,17044.609375,8962.7998046875,,7774.22021484375,12595.6103515625,6714.51904296875,1440.5999755859375,2299.080078125,673103.0,49182.37109375,30601.779296875,18857.25,10829.2001953125,2064.550048828125,1592.8599853515625,4053.3798828125,1657.0,1371.219970703125,,,,10367.6904296875,3071.31005859375,433.20001220703125,4049.39990234375,10408.9404296875,16073.740234375,20.68000030517578
2023-10-27,3017.783935546875,3562.389892578125,9770.83984375,61.97653579711914,111.52059173583984,7706.35888671875,714.25,7014.2001953125,3020.719970703125,6826.89990234375,3290.679931640625,63782.80078125,113301.0,,,32417.58984375,6795.3798828125,16866.19921875,7291.2998046875,14687.41015625,,4117.3701171875,18737.400390625,17398.73046875,8918.2998046875,,7809.7998046875,12643.009765625,6758.79296875,1441.9000244140625,2302.81005859375,655565.0,48973.8515625,30991.689453125,19047.25,10766.8203125,2049.64990234375,1595.219970703125,4058.340087890625,1636.93994140625,1388.22998046875,,,,10323.7099609375,3061.85009765625,429.5799865722656,4014.360107421875,,16134.6103515625,21.270000457763672
2023-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10482.849609375,,
2023-10-30,3021.552978515625,3583.77001953125,9927.990234375,62.76724624633789,112.89750671386719,7712.85888671875,714.0499877929688,6960.2001953125,3060.239990234375,6772.89990234375,3305.139892578125,64112.6484375,112532.0,,,32928.9609375,6825.06982421875,17017.599609375,7327.39990234375,14716.5400390625,,4166.81982421875,18856.80078125,17406.359375,9013.900390625,,7823.759765625,12789.48046875,6735.89208984375,1439.199951171875,2310.550048828125,591692.0,49277.359375,30696.9609375,19140.900390625,10741.5703125,2057.139892578125,1602.219970703125,4067.43994140625,1647.2900390625,1395.8499755859375,,,,10382.1904296875,3064.2900390625,431.1199951171875,4028.320068359375,10535.8701171875,16149.6796875,19.75
2023-10-31,3018.77099609375,3572.510009765625,9863.7998046875,62.993167877197266,113.556884765625,7514.06005859375,718.5999755859375,6967.5,3085.5400390625,6780.7001953125,3356.760009765625,63874.9296875,113144.0,,,33052.87109375,6885.64990234375,17083.099609375,7321.7001953125,14810.33984375,,4193.7998046875,18873.5,17112.48046875,9017.2998046875,,7834.7900390625,12851.240234375,6752.2109375,1442.1400146484375,2277.989990234375,579150.0,49061.87890625,30858.849609375,19079.599609375,10757.6904296875,2075.7900390625,1620.0400390625,4118.91015625,1662.280029296875,1381.8299560546875,,,,10391.16015625,3067.739990234375,433.6600036621094,4061.1201171875,10690.08984375,16001.26953125,18.139999389648438
2023-11-01,3023.076904296875,3571.030029296875,9826.73046875,63.58619689941406,114.73017120361328,7528.56005859375,722.22998046875,7024.60009765625,3073.469970703125,6838.2998046875,3377.06005859375,63591.328125,115053.0,,,33274.578125,6932.6298828125,17185.900390625,7342.39990234375,14923.26953125,,4237.85986328125,19079.0,17101.779296875,9075.0,,7966.97021484375,13061.4697265625,6642.41796875,1435.3299560546875,2301.56005859375,616255.0,49787.83984375,31601.650390625,18989.150390625,10850.919921875,2073.429931640625,1617.43994140625,4110.22998046875,1669.699951171875,1379.9599609375,,,,10503.8896484375,3076.77001953125,436.57000732421875,4091.7099609375,10814.8896484375,16038.5595703125,16.8700008392334
2023-11-02,3009.406005859375,3554.18994140625,9734.76953125,64.88521575927734,117.0573501586914,7663.5595703125,736.030029296875,7095.0,3134.840087890625,6899.7001953125,3455.080078125,64080.8984375,,,,33839.078125,7060.68994140625,17767.30078125,7446.5,15143.599609375,,4317.77978515625,19626.30078125,17230.58984375,9260.400390625,,8059.10009765625,13294.1904296875,6751.38623046875,1439.77001953125,2343.1201171875,654095.0,,31949.890625,19133.25,11044.4404296875,2110.800048828125,1654.8299560546875,4210.47021484375,1714.2099609375,1403.989990234375,,,,10591.98046875,3082.489990234375,443.4700012207031,4169.6201171875,10853.3603515625,16396.94921875,15.65999984741211
2023-11-03,3030.798095703125,3584.139892578125,9853.8896484375,65.5723876953125,118.23064422607422,7705.958984375,736.3099975585938,7175.10009765625,3186.3701171875,6978.2001953125,3503.52001953125,64363.78125,118160.0,,,34061.3203125,7047.5,17983.80078125,7417.7001953125,15189.25,,4358.33984375,19824.900390625,17664.119140625,9293.900390625,,8270.8095703125,13478.2802734375,6788.85009765625,1449.9300537109375,2368.340087890625,637284.0,51266.73046875,,19230.599609375,11118.919921875,2126.760009765625,1634.8599853515625,4241.43994140625,1760.699951171875,1419.760009765625,,,,10579.669921875,3143.659912109375,444.239990234375,4174.669921875,,16507.650390625,14.90999984741211
2023-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10938.9501953125,,
2023-11-06,3058.410888671875,3632.610107421875,10071.5595703125,65.242919921875,118.19185638427734,7867.95849609375,735.3400268554688,7192.2998046875,3199.739990234375,6997.39990234375,3474.010009765625,64958.69140625,118487.0,,,34095.859375,7013.72998046875,17747.5,7417.7998046875,15135.9697265625,,4365.97998046875,19743.900390625,17966.58984375,9241.5,,8206.669921875,13518.7802734375,6878.8359375,1464.6700439453125,2502.3701171875,,51633.62890625,32708.48046875,19411.75,11178.8798828125,2123.5,1635.93994140625,4250.5,1737.93994140625,1417.2099609375,,,,10576.75,3180.530029296875,443.5199890136719,4158.64013671875,10948.8603515625,16649.359375,14.890000343322754
2023-11-07,3057.27001953125,3619.760009765625,10056.490234375,64.84756469726562,118.28881072998047,7844.75830078125,735.739990234375,7176.60009765625,3161.219970703125,6977.10009765625,3462.93994140625,64942.3984375,119268.0,,,34152.6015625,6986.22998046875,17761.69921875,7410.0,15152.6396484375,,4378.3798828125,19575.599609375,17670.16015625,9235.900390625,,8223.0703125,13639.8603515625,6843.7900390625,1463.3699951171875,2443.9599609375,611207.0,51209.8515625,32271.8203125,19406.69921875,11185.48046875,2116.06005859375,1628.010009765625,4231.1298828125,1733.1500244140625,1408.300048828125,,,,10571.0302734375,3173.81005859375,442.80999755859375,4153.3701171875,10945.9697265625,16684.94921875,14.8100004196167
2023-11-08,3052.373046875,3611.070068359375,10052.08984375,64.76284790039062,118.31790924072266,7860.8583984375,734.6400146484375,7198.39990234375,3163.0,6995.39990234375,3456.590087890625,64975.609375,119099.0,,,34112.26953125,7034.16015625,17846.30078125,7401.7001953125,15229.599609375,,4382.77978515625,19530.19921875,17568.4609375,9283.7998046875,,8256.169921875,13650.41015625,6804.10595703125,1457.5999755859375,2421.6201171875,584970.0,51016.30078125,32166.48046875,19443.5,11118.4599609375,2114.320068359375,1660.949951171875,4266.22998046875,1714.0699462890625,1411.77001953125,,,,10595.0595703125,3129.719970703125,444.07000732421875,4178.490234375,10928.759765625,16740.830078125,14.449999809265137
2023-11-09,3053.279052734375,3612.830078125,10032.08984375,64.75343322753906,117.62944030761719,7841.45849609375,749.1599731445312,7215.10009765625,3202.050048828125,7014.89990234375,3478.909912109375,64832.19921875,119012.0,,,33891.94140625,7113.66015625,18037.900390625,7455.7001953125,15352.5400390625,,4347.35009765625,19587.400390625,17511.2890625,9405.2001953125,,8098.60986328125,13521.4501953125,6838.23291015625,1452.27001953125,2427.080078125,623996.0,51071.03125,32646.4609375,19395.30078125,11156.2998046875,2137.97998046875,1658.3699951171875,4309.89990234375,1687.239990234375,1404.969970703125,,,,10644.990234375,3135.320068359375,447.79998779296875,4229.2001953125,10840.759765625,16745.650390625,15.289999961853027
2023-11-10,3038.969970703125,3586.489990234375,9978.5400390625,65.04523468017578,119.11302185058594,7771.2587890625,746.3099975585938,7176.60009765625,3203.659912109375,6976.5,3438.860107421875,64904.6796875,120636.0,,,34283.1015625,7045.0400390625,17853.099609375,7360.60009765625,15234.3896484375,,4415.240234375,19654.5,17203.259765625,9371.7001953125,,8025.27001953125,13798.1103515625,6809.26318359375,1445.1800537109375,2409.659912109375,660275.0,51258.23828125,32568.109375,19425.349609375,11140.400390625,2115.3798828125,1643.27001953125,4263.06005859375,1705.3199462890625,1389.5699462890625,,,,10555.349609375,3106.679931640625,443.30999755859375,4197.35986328125,,16682.669921875,14.170000076293945
2023-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10833.6396484375,,
2023-11-13,3046.532958984375,3579.409912109375,9988.830078125,65.21468353271484,119.15181732177734,7568.259765625,753.4099731445312,7145.0,3228.340087890625,6948.7998046875,3445.56005859375,64933.87109375,120376.0,,,34337.87109375,7087.06005859375,17913.69921875,7425.7998046875,15345.0,,4411.5498046875,19709.19921875,17426.2109375,9461.7001953125,,8078.2998046875,13767.740234375,6838.31201171875,,2403.760009765625,636964.0,51090.91015625,32585.109375,19443.55078125,11094.8701171875,2122.6298828125,1660.4599609375,4272.64013671875,1705.5,1387.1300048828125,,,,10590.3896484375,,446.6199951171875,4232.18994140625,10789.75,16839.2890625,14.760000228881836
2023-11-14,3056.070068359375,3582.06005859375,10005.5595703125,66.88082122802734,121.6535415649414,7671.0595703125,758.1500244140625,7207.10009765625,3259.7099609375,7006.7001953125,3507.469970703125,,123328.0,,,34827.69921875,7185.68017578125,18536.099609375,7440.5,15614.4296875,,4495.7001953125,20023.69921875,17396.859375,9623.2998046875,,8264.2802734375,14094.3798828125,6862.05517578125,1451.719970703125,2433.25,634516.0,52511.37109375,32695.9296875,,11266.2001953125,2169.97998046875,1685.3199462890625,4356.990234375,1798.3199462890625,1386.0400390625,,,,10715.73046875,3104.659912109375,452.6000061035156,4291.72021484375,10857.099609375,16915.7109375,14.15999984741211
2023-11-15,3072.8349609375,3607.25,10077.9599609375,66.77727508544922,121.84747314453125,7665.859375,762.8200073242188,7316.7001953125,3285.52001953125,7105.89990234375,3531.199951171875,65675.9296875,,,,34991.2109375,7209.60986328125,18676.5,7486.89990234375,15748.169921875,,4502.8798828125,20057.900390625,18079.0,9640.7001953125,,8255.9697265625,14103.83984375,6958.205078125,1466.8399658203125,2486.669921875,629362.0,52796.46875,33519.69921875,19675.44921875,11347.3701171875,2192.969970703125,1691.93994140625,4370.25,1801.219970703125,1415.1700439453125,,,,10708.1904296875,3132.1201171875,454.5199890136719,4315.52978515625,11022.8896484375,17128.779296875,14.180000305175781
